path	bytes	ext	bucket	role	is_symlink	purpose_bucket
AGENTS.md	9552	md	ROOT-misc	markdown-doc	False	Root governance, scratch, licenses
CLAUDE.md	12552	md	ROOT-misc	markdown-doc	False	Root governance, scratch, licenses
Guides/KL-Form-Language.md	13767	md	B-guides-medical	markdown-doc	False	Medical media/graphics guides
Guides/Medical-Graphics-Playbook.md	4249	md	B-guides-medical	markdown-doc	False	Medical media/graphics guides
Guides/Medical-Presentation-Forms.md	4502	md	B-guides-medical	markdown-doc	False	Medical media/graphics guides
Guides/Pinit-Best-Practices.md	13890	md	A-guides-typst	markdown-doc	False	Durable Typst layout theory & lessons
Guides/Template-Ranking.md	5520	md	A-guides-typst	markdown-doc	False	Durable Typst layout theory & lessons
Guides/Typst Complete Guide.md	44132	md	A-guides-typst	markdown-doc	False	Durable Typst layout theory & lessons
Guides/Typst Extensibility.md	51146	md	A-guides-typst	markdown-doc	False	Durable Typst layout theory & lessons
Guides/Typst Reference Guide.md	44132	md	A-guides-typst	markdown-doc	False	Durable Typst layout theory & lessons
Guides/Typst_Template_Report.md	9176	md	A-guides-typst	markdown-doc	False	Durable Typst layout theory & lessons
Guides/Working_With_Typst-Theory_To_Practice.md	35204	md	A-guides-typst	markdown-doc	False	Durable Typst layout theory & lessons
Guides/update2026/ROLLE &amp; ZIEL_Du bist Recherche-Assistent für e.md	25813	md	A-guides-typst	markdown-doc	False	Durable Typst layout theory & lessons
Guides/update2026/Welche Änderungen und Erweiterungen gab es in den.md	10390	md	A-guides-typst	markdown-doc	False	Durable Typst layout theory & lessons
LICENSE	155	(none)	ROOT-misc	other	False	Root governance, scratch, licenses
README.md	4225	md	ROOT-misc	markdown-doc	False	Root governance, scratch, licenses
SETUP-WINDOWS.md	1150	md	ROOT-misc	markdown-doc	False	Root governance, scratch, licenses
agents/skills.txt	297	txt	ROOT-misc	other	False	Root governance, scratch, licenses
assets/figures/.gitkeep	0	(none)	A-support	other	False	Fonts, placeholders, isolated tests
assets/photos/.gitkeep	0	(none)	A-support	other	False	Fonts, placeholders, isolated tests
assets/tables/.gitkeep	0	(none)	A-support	other	False	Fonts, placeholders, isolated tests
devtracks/CONSENSUS-v0.md	14447	md	META-devtracks	markdown-doc	False	Active/archived plans
devtracks/PRODUCT-BOUNDARIES.md	4035	md	META-devtracks	markdown-doc	False	Active/archived plans
devtracks/README.md	4910	md	META-devtracks	markdown-doc	False	Active/archived plans
devtracks/ROLES-AND-FLOW.md	2998	md	META-devtracks	markdown-doc	False	Active/archived plans
devtracks/_archive/additional-packages/phase1.md	3257	md	META-devtracks	markdown-doc	False	Active/archived plans
devtracks/_archive/additional-packages/phase2.md	3126	md	META-devtracks	markdown-doc	False	Active/archived plans
devtracks/_archive/additional-packages/phase3.md	3904	md	META-devtracks	markdown-doc	False	Active/archived plans
devtracks/_archive/additional-packages/phase4.md	4386	md	META-devtracks	markdown-doc	False	Active/archived plans
devtracks/_archive/additional-packages/plan.md	2231	md	META-devtracks	markdown-doc	False	Active/archived plans
devtracks/_archive/additional-packages/spec.md	3976	md	META-devtracks	markdown-doc	False	Active/archived plans
devtracks/_archive/agentic-adaptations/adoption-matrix.md	2243	md	META-devtracks	markdown-doc	False	Active/archived plans
devtracks/_archive/agentic-adaptations/decisions.md	1015	md	META-devtracks	markdown-doc	False	Active/archived plans
